agency_cd,site_no,datetime,discharge_cfs,329706_00060_00003_cd
USGS,12436500,8/23/1970,83800,A:R
USGS,12436500,8/24/1970,84700,A:R
USGS,12436500,8/25/1970,82700,A:R
USGS,12436500,8/26/1970,84800,A:R
USGS,12436500,8/27/1970,85200,A:R
USGS,12436500,8/28/1970,86900,A:R
USGS,12436500,8/29/1970,78500,A:R
USGS,12436500,8/30/1970,78700,A:R
USGS,12436500,8/31/1970,82300,A:R
USGS,12436500,9/1/1970,81400,A:R
USGS,12436500,9/2/1970,81400,A:R
USGS,12436500,9/3/1970,80700,A:R
USGS,12436500,9/4/1970,78600,A:R
USGS,12436500,9/5/1970,81300,A:R
USGS,12436500,9/6/1970,74600,A:R
USGS,12436500,9/7/1970,60000,A:R
USGS,12436500,9/8/1970,80600,A:R
USGS,12436500,9/9/1970,79400,A:R
USGS,12436500,9/10/1970,78700,A:R
USGS,12436500,9/11/1970,76800,A:R
USGS,12436500,9/12/1970,73700,A:R
USGS,12436500,9/13/1970,70900,A:R
USGS,12436500,9/14/1970,76500,A:R
USGS,12436500,9/15/1970,77500,A:R
USGS,12436500,9/16/1970,74400,A:R
USGS,12436500,9/17/1970,64700,A:R
USGS,12436500,9/18/1970,65400,A:R
USGS,12436500,9/19/1970,73400,A:R
USGS,12436500,9/20/1970,77600,A:R
USGS,12436500,9/21/1970,67300,A:R
USGS,12436500,9/22/1970,64300,A:R
USGS,12436500,9/23/1970,61900,A:R
USGS,12436500,9/24/1970,67700,A:R
USGS,12436500,9/25/1970,61800,A:R
USGS,12436500,9/26/1970,65400,A:R
USGS,12436500,9/27/1970,60500,A:R
USGS,12436500,9/28/1970,70800,A:R
USGS,12436500,9/29/1970,67700,A:R
USGS,12436500,9/30/1970,66300,A:R
USGS,12436500,10/1/1970,65000,A:R
USGS,12436500,10/2/1970,65400,A:R
USGS,12436500,10/3/1970,65200,A:R
USGS,12436500,10/4/1970,46900,A:R
USGS,12436500,10/5/1970,72500,A:R
USGS,12436500,10/6/1970,78800,A:R
USGS,12436500,10/7/1970,85100,A:R
USGS,12436500,10/8/1970,83800,A:R
USGS,12436500,10/9/1970,82800,A:R
USGS,12436500,10/10/1970,78400,A:R
USGS,12436500,10/11/1970,79200,A:R
USGS,12436500,10/12/1970,81700,A:R
USGS,12436500,10/13/1970,82700,A:R
USGS,12436500,10/14/1970,76300,A:R
USGS,12436500,10/15/1970,78400,A:R
USGS,12436500,10/16/1970,72800,A:R
USGS,12436500,10/17/1970,63200,A:R
USGS,12436500,10/18/1970,77700,A:R
USGS,12436500,10/19/1970,76300,A:R
USGS,12436500,10/20/1970,79900,A:R
USGS,12436500,10/21/1970,82800,A:R
USGS,12436500,10/22/1970,81700,A:R
USGS,12436500,10/23/1970,82900,A:R
USGS,12436500,10/24/1970,75800,A:R
USGS,12436500,10/25/1970,63200,A:R
USGS,12436500,10/26/1970,67900,A:R
USGS,12436500,10/27/1970,67800,A:R
USGS,12436500,10/28/1970,84700,A:R
USGS,12436500,10/29/1970,86700,A:R
USGS,12436500,10/30/1970,79800,A:R
USGS,12436500,10/31/1970,73900,A:R
USGS,12436500,11/1/1970,67500,A:R
USGS,12436500,11/2/1970,75600,A:R
USGS,12436500,11/3/1970,75000,A:R
USGS,12436500,11/4/1970,76300,A:R
USGS,12436500,11/5/1970,62000,A:R
USGS,12436500,11/6/1970,61300,A:R
USGS,12436500,11/7/1970,72200,A:R
USGS,12436500,11/8/1970,50100,A:R
USGS,12436500,11/9/1970,75000,A:R
USGS,12436500,11/10/1970,79900,A:R
USGS,12436500,11/11/1970,79500,A:R
USGS,12436500,11/12/1970,84300,A:R
USGS,12436500,11/13/1970,88200,A:R
USGS,12436500,11/14/1970,80500,A:R
USGS,12436500,11/15/1970,53500,A:R
USGS,12436500,11/16/1970,61600,A:R
USGS,12436500,11/17/1970,60000,A:R
USGS,12436500,11/18/1970,60800,A:R
USGS,12436500,11/19/1970,64200,A:R
USGS,12436500,11/20/1970,72900,A:R
USGS,12436500,11/21/1970,83500,A:R
USGS,12436500,11/22/1970,89000,A:R
USGS,12436500,11/23/1970,88900,A:R
USGS,12436500,11/24/1970,76700,A:R
USGS,12436500,11/25/1970,76100,A:R
USGS,12436500,11/26/1970,45700,A:R
USGS,12436500,11/27/1970,60900,A:R
USGS,12436500,11/28/1970,68700,A:R
USGS,12436500,11/29/1970,63400,A:R
USGS,12436500,11/30/1970,73900,A:R
USGS,12436500,12/1/1970,81800,A:R
USGS,12436500,12/2/1970,88100,A:R
USGS,12436500,12/3/1970,83000,A:R
USGS,12436500,12/4/1970,84000,A:R
USGS,12436500,12/5/1970,65900,A:R
USGS,12436500,12/6/1970,47200,A:R
USGS,12436500,12/7/1970,76800,A:R
USGS,12436500,12/8/1970,82000,A:R
USGS,12436500,12/9/1970,76000,A:R
USGS,12436500,12/10/1970,74000,A:R
USGS,12436500,12/11/1970,68100,A:R
USGS,12436500,12/12/1970,62700,A:R
USGS,12436500,12/13/1970,57700,A:R
USGS,12436500,12/14/1970,73400,A:R
USGS,12436500,12/15/1970,83300,A:R
USGS,12436500,12/16/1970,88000,A:R
USGS,12436500,12/17/1970,87700,A:R
USGS,12436500,12/18/1970,78800,A:R
USGS,12436500,12/19/1970,76100,A:R
USGS,12436500,12/20/1970,84100,A:R
USGS,12436500,12/21/1970,89200,A:R
USGS,12436500,12/22/1970,89300,A:R
USGS,12436500,12/23/1970,73400,A:R
USGS,12436500,12/24/1970,67300,A:R
USGS,12436500,12/25/1970,72300,A:R
USGS,12436500,12/26/1970,71000,A:R
USGS,12436500,12/27/1970,65400,A:R
USGS,12436500,12/28/1970,75300,A:R
USGS,12436500,12/29/1970,69400,A:R
USGS,12436500,12/30/1970,65800,A:R
USGS,12436500,12/31/1970,63800,A:R
USGS,12436500,1/1/1971,72000,A:R
USGS,12436500,1/2/1971,72400,A:R
USGS,12436500,1/3/1971,78600,A:R
USGS,12436500,1/4/1971,89300,A:R
USGS,12436500,1/5/1971,93400,A:R
USGS,12436500,1/6/1971,89500,A:R
USGS,12436500,1/7/1971,89900,A:R
USGS,12436500,1/8/1971,86500,A:R
USGS,12436500,1/9/1971,70100,A:R
USGS,12436500,1/10/1971,75600,A:R
USGS,12436500,1/11/1971,86400,A:R
USGS,12436500,1/12/1971,75900,A:R
USGS,12436500,1/13/1971,72900,A:R
USGS,12436500,1/14/1971,80500,A:R
USGS,12436500,1/15/1971,93000,A:R
USGS,12436500,1/16/1971,82300,A:R
USGS,12436500,1/17/1971,53200,A:R
USGS,12436500,1/18/1971,48400,A:R
USGS,12436500,1/19/1971,63200,A:R
USGS,12436500,1/20/1971,68200,A:R
USGS,12436500,1/21/1971,61400,A:R
USGS,12436500,1/22/1971,48600,A:R
USGS,12436500,1/23/1971,51100,A:R
USGS,12436500,1/24/1971,51600,A:R
USGS,12436500,1/25/1971,61900,A:R
USGS,12436500,1/26/1971,59400,A:R
USGS,12436500,1/27/1971,53700,A:R
USGS,12436500,1/28/1971,64500,A:R
USGS,12436500,1/29/1971,73800,A:R
USGS,12436500,1/30/1971,49900,A:R
USGS,12436500,1/31/1971,39100,A:R
USGS,12436500,2/1/1971,78500,A:R
USGS,12436500,2/2/1971,89200,A:R
USGS,12436500,2/3/1971,81400,A:R
USGS,12436500,2/4/1971,74000,A:R
USGS,12436500,2/5/1971,69000,A:R
USGS,12436500,2/6/1971,68300,A:R
USGS,12436500,2/7/1971,72700,A:R
USGS,12436500,2/8/1971,95500,A:R
USGS,12436500,2/9/1971,87900,A:R
USGS,12436500,2/10/1971,60900,A:R
USGS,12436500,2/11/1971,64900,A:R
USGS,12436500,2/12/1971,68500,A:R
USGS,12436500,2/13/1971,82300,A:R
USGS,12436500,2/14/1971,81700,A:R
USGS,12436500,2/15/1971,82100,A:R
USGS,12436500,2/16/1971,82700,A:R
USGS,12436500,2/17/1971,87800,A:R
USGS,12436500,2/18/1971,98500,A:R
USGS,12436500,2/19/1971,105000,A:R
USGS,12436500,2/20/1971,103000,A:R
USGS,12436500,2/21/1971,101000,A:R
USGS,12436500,2/22/1971,106000,A:R
USGS,12436500,2/23/1971,106000,A:R
USGS,12436500,2/24/1971,98700,A:R
USGS,12436500,2/25/1971,99600,A:R
USGS,12436500,2/26/1971,134000,A:R
USGS,12436500,2/27/1971,155000,A:R
USGS,12436500,2/28/1971,155000,A:R
USGS,12436500,3/1/1971,148000,A:R
USGS,12436500,3/2/1971,140000,A:R
USGS,12436500,3/3/1971,137000,A:R
USGS,12436500,3/4/1971,137000,A:R
USGS,12436500,3/5/1971,131000,A:R
USGS,12436500,3/6/1971,135000,A:R
USGS,12436500,3/7/1971,135000,A:R
USGS,12436500,3/8/1971,139000,A:R
USGS,12436500,3/9/1971,143000,A:R
USGS,12436500,3/10/1971,144000,A:R
USGS,12436500,3/11/1971,146000,A:R
USGS,12436500,3/12/1971,146000,A:R
USGS,12436500,3/13/1971,142000,A:R
USGS,12436500,3/14/1971,148000,A:R
USGS,12436500,3/15/1971,140000,A:R
USGS,12436500,3/16/1971,136000,A:R
USGS,12436500,3/17/1971,132000,A:R
USGS,12436500,3/18/1971,126000,A:R
USGS,12436500,3/19/1971,124000,A:R
USGS,12436500,3/20/1971,122000,A:R
USGS,12436500,3/21/1971,128000,A:R
USGS,12436500,3/22/1971,123000,A:R
USGS,12436500,3/23/1971,119000,A:R
USGS,12436500,3/24/1971,111000,A:R
USGS,12436500,3/25/1971,119000,A:R
USGS,12436500,3/26/1971,116000,A:R
USGS,12436500,3/27/1971,110000,A:R
USGS,12436500,3/28/1971,122000,A:R
USGS,12436500,3/29/1971,114000,A:R
USGS,12436500,3/30/1971,129000,A:R
USGS,12436500,3/31/1971,130000,A:R
USGS,12436500,4/1/1971,115000,A:R
USGS,12436500,4/2/1971,106000,A:R
USGS,12436500,4/3/1971,115000,A:R
USGS,12436500,4/4/1971,115000,A:R
USGS,12436500,4/5/1971,112000,A:R
USGS,12436500,4/6/1971,107000,A:R
USGS,12436500,4/7/1971,105000,A:R
USGS,12436500,4/8/1971,114000,A:R
USGS,12436500,4/9/1971,125000,A:R
USGS,12436500,4/10/1971,128000,A:R
USGS,12436500,4/11/1971,136000,A:R
USGS,12436500,4/12/1971,138000,A:R
USGS,12436500,4/13/1971,131000,A:R
USGS,12436500,4/14/1971,117000,A:R
USGS,12436500,4/15/1971,129000,A:R
USGS,12436500,4/16/1971,131000,A:R
USGS,12436500,4/17/1971,130000,A:R
USGS,12436500,4/18/1971,128000,A:R
USGS,12436500,4/19/1971,130000,A:R
USGS,12436500,4/20/1971,127000,A:R
USGS,12436500,4/21/1971,141000,A:R
USGS,12436500,4/22/1971,129000,A:R
USGS,12436500,4/23/1971,140000,A:R
USGS,12436500,4/24/1971,120000,A:R
USGS,12436500,4/25/1971,92700,A:R
USGS,12436500,4/26/1971,87300,A:R
USGS,12436500,4/27/1971,73700,A:R
USGS,12436500,4/28/1971,83000,A:R
USGS,12436500,4/29/1971,71600,A:R
USGS,12436500,4/30/1971,141000,A:R
USGS,12436500,5/1/1971,172000,A:R
USGS,12436500,5/2/1971,192000,A:R
USGS,12436500,5/3/1971,214000,A:R
USGS,12436500,5/4/1971,223000,A:R
USGS,12436500,5/5/1971,216000,A:R
USGS,12436500,5/6/1971,226000,A:R
USGS,12436500,5/7/1971,231000,A:R
USGS,12436500,5/8/1971,238000,A:R
USGS,12436500,5/9/1971,238000,A:R
USGS,12436500,5/10/1971,235000,A:R
USGS,12436500,5/11/1971,231000,A:R
USGS,12436500,5/12/1971,236000,A:R
USGS,12436500,5/13/1971,230000,A:R
USGS,12436500,5/14/1971,235000,A:R
USGS,12436500,5/15/1971,243000,A:R
USGS,12436500,5/16/1971,244000,A:R
USGS,12436500,5/17/1971,246000,A:R
USGS,12436500,5/18/1971,247000,A:R
USGS,12436500,5/19/1971,248000,A:R
USGS,12436500,5/20/1971,249000,A:R
USGS,12436500,5/21/1971,250000,A:R
USGS,12436500,5/22/1971,250000,A:R
USGS,12436500,5/23/1971,251000,A:R
USGS,12436500,5/24/1971,249000,A:R
USGS,12436500,5/25/1971,250000,A:R
USGS,12436500,5/26/1971,252000,A:R
USGS,12436500,5/27/1971,253000,A:R
USGS,12436500,5/28/1971,253000,A:R
USGS,12436500,5/29/1971,252000,A:R
USGS,12436500,5/30/1971,251000,A:R
USGS,12436500,5/31/1971,252000,A:R
USGS,12436500,6/1/1971,252000,A:R
USGS,12436500,6/2/1971,250000,A:R
USGS,12436500,6/3/1971,252000,A:R
USGS,12436500,6/4/1971,246000,A:R
USGS,12436500,6/5/1971,252000,A:R
USGS,12436500,6/6/1971,254000,A:R
USGS,12436500,6/7/1971,247000,A:R
USGS,12436500,6/8/1971,257000,A:R
USGS,12436500,6/9/1971,260000,A:R
USGS,12436500,6/10/1971,262000,A:R
USGS,12436500,6/11/1971,261000,A:R
USGS,12436500,6/12/1971,260000,A:R
USGS,12436500,6/13/1971,257000,A:R
USGS,12436500,6/14/1971,269000,A:R
USGS,12436500,6/15/1971,273000,A:R
USGS,12436500,6/16/1971,283000,A:R
USGS,12436500,6/17/1971,290000,A:R
USGS,12436500,6/18/1971,281000,A:R
USGS,12436500,6/19/1971,279000,A:R
USGS,12436500,6/20/1971,269000,A:R
USGS,12436500,6/21/1971,256000,A:R
USGS,12436500,6/22/1971,258000,A:R
USGS,12436500,6/23/1971,257000,A:R
USGS,12436500,6/24/1971,254000,A:R
USGS,12436500,6/25/1971,256000,A:R
USGS,12436500,6/26/1971,257000,A:R
USGS,12436500,6/27/1971,255000,A:R
USGS,12436500,6/28/1971,245000,A:R
USGS,12436500,6/29/1971,233000,A:R
USGS,12436500,6/30/1971,220000,A:R
USGS,12436500,7/1/1971,242000,A:R
USGS,12436500,7/2/1971,246000,A:R
USGS,12436500,7/3/1971,224000,A:R
USGS,12436500,7/4/1971,214000,A:R
USGS,12436500,7/5/1971,217000,A:R
USGS,12436500,7/6/1971,208000,A:R
USGS,12436500,7/7/1971,205000,A:R
USGS,12436500,7/8/1971,199000,A:R
USGS,12436500,7/9/1971,196000,A:R
USGS,12436500,7/10/1971,195000,A:R
USGS,12436500,7/11/1971,189000,A:R
USGS,12436500,7/12/1971,191000,A:R
USGS,12436500,7/13/1971,192000,A:R
USGS,12436500,7/14/1971,187000,A:R
USGS,12436500,7/15/1971,182000,A:R
USGS,12436500,7/16/1971,171000,A:R
USGS,12436500,7/17/1971,173000,A:R
USGS,12436500,7/18/1971,178000,A:R
USGS,12436500,7/19/1971,173000,A:R
USGS,12436500,7/20/1971,173000,A:R
USGS,12436500,7/21/1971,175000,A:R
USGS,12436500,7/22/1971,176000,A:R
USGS,12436500,7/23/1971,182000,A:R
USGS,12436500,7/24/1971,190000,A:R
USGS,12436500,7/25/1971,189000,A:R
USGS,12436500,7/26/1971,183000,A:R
USGS,12436500,7/27/1971,161000,A:R
USGS,12436500,7/28/1971,153000,A:R
USGS,12436500,7/29/1971,147000,A:R
USGS,12436500,7/30/1971,151000,A:R
USGS,12436500,7/31/1971,158000,A:R
USGS,12436500,8/1/1971,159000,A:R
USGS,12436500,8/2/1971,157000,A:R
USGS,12436500,8/3/1971,164000,A:R
USGS,12436500,8/4/1971,181000,A:R
USGS,12436500,8/5/1971,167000,A:R
USGS,12436500,8/6/1971,160000,A:R
USGS,12436500,8/7/1971,155000,A:R
USGS,12436500,8/8/1971,157000,A:R
USGS,12436500,8/9/1971,164000,A:R
USGS,12436500,8/10/1971,166000,A:R
USGS,12436500,8/11/1971,162000,A:R
USGS,12436500,8/12/1971,151000,A:R
USGS,12436500,8/13/1971,131000,A:R
USGS,12436500,8/14/1971,129000,A:R
USGS,12436500,8/15/1971,121000,A:R
USGS,12436500,8/16/1971,109000,A:R
USGS,12436500,8/17/1971,115000,A:R
USGS,12436500,8/18/1971,103000,A:R
USGS,12436500,8/19/1971,94200,A:R
USGS,12436500,8/20/1971,96400,A:R
USGS,12436500,8/21/1971,92400,A:R
USGS,12436500,8/22/1971,90600,A:R
USGS,12436500,8/23/1971,92500,A:R
USGS,12436500,8/24/1971,95000,A:R
USGS,12436500,8/25/1971,98300,A:R
USGS,12436500,8/26/1971,93300,A:R
USGS,12436500,8/27/1971,91700,A:R
USGS,12436500,8/28/1971,86000,A:R
USGS,12436500,8/29/1971,86900,A:R
USGS,12436500,8/30/1971,90600,A:R
USGS,12436500,8/31/1971,89900,A:R
USGS,12436500,9/1/1971,89900,A:R
USGS,12436500,9/2/1971,89900,A:R
USGS,12436500,9/3/1971,85200,A:R
USGS,12436500,9/4/1971,60200,A:R
USGS,12436500,9/5/1971,66900,A:R
USGS,12436500,9/6/1971,71400,A:R
USGS,12436500,9/7/1971,83100,A:R
USGS,12436500,9/8/1971,85900,A:R
USGS,12436500,9/9/1971,74100,A:R
USGS,12436500,9/10/1971,66700,A:R
USGS,12436500,9/11/1971,73500,A:R
USGS,12436500,9/12/1971,54500,A:R
USGS,12436500,9/13/1971,69300,A:R
USGS,12436500,9/14/1971,70300,A:R
USGS,12436500,9/15/1971,72100,A:R
USGS,12436500,9/16/1971,62500,A:R
USGS,12436500,9/17/1971,60100,A:R
USGS,12436500,9/18/1971,69200,A:R
USGS,12436500,9/19/1971,54300,A:R
USGS,12436500,9/20/1971,80900,A:R
USGS,12436500,9/21/1971,83800,A:R
USGS,12436500,9/22/1971,76200,A:R
USGS,12436500,9/23/1971,77100,A:R
